Bütschwil,3
Büttenhardt,3
Büttikon,3
Buochs,3
Menziken,3
Burg i.l.,3
Burgdorf,3
Burgistein,3
Busswil b. m.,3
Buttisholz,3
Buttwil,3
Buus,3
Cazis,3
Celerina,3
Cham,3
Chur,3
Churwalden,3
Conters i.p.,3
Cumbel,3
Curalia,3
Dachsen,3
Dällikon,3
Daeniken,3
Därligen,3
Därstetten,3
Dättlikon,3
Dagmersellen,3
Dallenwil,3
Davos platz 1,3
Degersheim,3
Deitingen,3
Densbüren,3
Derendingen,3
Diegten,3
Dielsdorf,3
Diepflingen,3
Diepoldsau,3
Dierikon,3
Diessbach b. büren,3
Diessenhofen,3
Dietikon,3
Dietlikon,3
Dietwil,3
Dinhard,3
Dintikon,3
Disentis/muster,3
Dittingen,3
Dörflingen,3
Döttingen,3
Domat/ems,3
Doppleschwand,3
Dorf,3
Dornach,3
Dottikon,3
Dotzigen,3
Dozwil,3
Dübendorf,3
Düdingen,3
Duernten,3
Duerrenroth,3
Dulliken,3
Ebikon,3
Ebnat-kappel,3
Effingen,3
Egerkingen,3
Egg b. zuerich,3
Eggenwil,3
Eggerberg,3
Eggersriet,3
Eggiwil,3
Eglisau,3
Egliswil,3
Egolzwil,3
Ehrendingen,3
Eich,3
Eichberg,3
Eiken,3
Eischoll,3
Eisten,3
Elfingen,3
Elgg,3
Embd,3
Emmen,3
Emmetten,3
Endingen,3
Engelberg,3
Ennetbaden,3
Ennetbuergen,3
Ennetmoos,3
Entlebuch,3
Ergisch,3
Eriswil,3
Eriz,3
Erlach,3
Erlen,3
Erlenbach ,3
Erlenbach /zh,3
Erlinsbach,3
Ermatingen,3
Ermensee,3
Ernen,3
Erschwil,3
Ersigen,3
Erstfeld,3
Eschenbach,3
Eschenbach /sg,3
Eschenz,3
Eschlikon,3
Escholzmatt,3
Ettingen,3
Ettiswil,3
Etziken,3
Faellanden,3
Fahrni,3
Fahrwangen,3
Falera,3
Farnern,3
Fehraltorf,3
Fehren,3
Felben-wellhausen,3
Feldbrunnen--st. niklaus,3
Felsberg,3
Ferden,3
Feuerthalen,3
Fiesch,3
Filisur,3
Fischbach,3
Fischbach-goeslikon,3
Fischingen,3
Fisibach,3
Fislisbach,3
Flaach,3
Fläsch,3
Flawil,3
Flerden,3
Flims,3
Flueelen,3
Fluehli,3
Flumenthal,3
Flums,3
Flurlingen,3
Fraeschels,3
Frauenfeld,3
Frauenkappelen,3
Freienbach,3
Freienwil,3
Frenkendorf,3
Frick,3
Frutigen,3
Füllinsdorf,3
Fürstenau,3
Fulenbach,3
Leibstadt,3
Furna,3
Gachnang,3
Gadmen,3
Gaensbrunnen,3
Gais,3
Siebnen,3
Galmiz,3
Gals,3
Gampel,3
Gampelen,3
Gams,3
Gansingen,3
Gebenstorf,3
Gelterkinden,3
Gempen,3
Gempenach,3
Gerlafingen,3
Geroldswil,3
Gersau,3
Gerzensee,3
Gettnau,3
Geuensee,3
Giffers,3
Gipf-oberfrick,3
Gisikon,3
Giswil,3
Glarus,3
Glattfelden,3
Göschenen,3
Goldach,3
Goldingen,3
Gommiswald,3
Gondiswil,3
Gonten,3
Gontenschwil,3
Gossau /sg,3
Gossau /zh,3
Grabs,3
Graechen,3
Graenichen,3
Greifensee,3
Grellingen,3
Grenchen,3
Grengiols,3
Greppen,3
Gretzenbach,3
Grindel,3
Grindelwald,3
Grossaffoltern,3
Grossdietwil,3
Grosshöchstetten,3
Grosswangen,3
Grub (ar),3
Grueningen,3
Grüsch,3
Gsteig ,3
Gsteigwiler,3
Günsberg,3
Guettingen,3
Guggisberg,3
Aadorf,3
Guntmadingen,3
Gunzgen,3
Gurbrue,3
Gurmels,3
Gurtnellen,3
Gurzelen,3
Guttannen,3
Habkern,3
Habsburg,3
Haefelfingen,3
Haegendorf,3
Haeggenschwil,3
Haegglingen,3
Haerkingen,3
Hagenbuch,3
Haldenstein,3
Hallau,3
Hallwil,3
Hasle,3
Haslen gl,3
Hauenstein-ifenthal,3
Hauptwil,3
Haussen am albis,3
Hausen ag,3
Hedingen,3
Heiden,3
Heiligenschwendi,3
Heimberg,3
Heimenhausen,3
Heimiswil,3
Heitenried,3
Hellikon,3
Hemberg,3
Hemmiken,3
Hendschiken,3
Henggart,3
Herbetswil,3
Lanzenneunform,3
Hergiswil b. w.,3
Herisau,3
Hermrigen,3
Herrliberg,3
Winistorf,3
